"name","state","district","party","score","lifetime_score","chamber"
"Rep. Markwayne Mullin","OK",2,"Republican",0,15,"House"
"Rep. Frank D. Lucas","OK",3,"Republican",8,15,"House"
"Rep. Tom Cole","OK",4,"Republican",15,19,"House"
"Rep. Stephanie Bice","OK",5,"Republican",15,12,"House"
"Rep. Suzanne Bonamici","OR",1,"Democrat",100,96,"House"
"Rep. Cliff Bentz","OR",2,"Republican",8,6,"House"
"Rep. Earl Blumenauer","OR",3,"Democrat",100,95,"House"
"Rep. Peter A. DeFazio","OR",4,"Democrat",100,94,"House"
"Rep. Kurt Schrader","OR",5,"Democrat",92,85,"House"
"Rep. Brian Fitzpatrick","PA",1,"Republican",85,65,"House"
"Rep. Brendan Boyle","PA",2,"Democrat",100,97,"House"
"Rep. Dwight Evans","PA",3,"Democrat",100,99,"House"
"Rep. Madeleine Dean","PA",4,"Democrat",100,100,"House"
"Rep. Mary Gay Scanlon","PA",5,"Democrat",100,100,"House"
"Rep. Chrissy Houlahan","PA",6,"Democrat",100,100,"House"
"Rep. Susan Wild","PA",7,"Democrat",100,99,"House"
"Rep. Matt Cartwright","PA",8,"Democrat",100,97,"House"
"Rep. Daniel Meuser","PA",9,"Republican",15,14,"House"
"Rep. Scott Perry","PA",10,"Republican",0,8,"House"
"Rep. Lloyd Smucker","PA",11,"Republican",0,11,"House"
"Rep. Fred Keller","PA",12,"Republican",8,12,"House"
"Rep. John Joyce","PA",13,"Republican",15,12,"House"
"Rep. Guy Reschenthaler","PA",14,"Republican",15,24,"House"
"Rep. Glenn Thompson","PA",15,"Republican",8,15,"House"
"Rep. Mike Kelly","PA",16,"Republican",8,21,"House"
"Rep. Conor Lamb","PA",17,"Democrat",100,94,"House"
"Rep. Mike Doyle","PA",18,"Democrat",100,98,"House"
"Rep. David Cicilline","RI",1,"Democrat",100,98,"House"
"Rep. Jim Langevin","RI",2,"Democrat",100,98,"House"
"Rep. Nancy Mace","SC",1,"Republican",15,6,"House"
"Rep. Joe Wilson","SC",2,"Republican",8,11,"House"
"Rep. Jeffrey Duncan","SC",3,"Republican",0,6,"House"
"Rep. William Timmons","SC",4,"Republican",0,8,"House"
"Rep. Ralph Norman","SC",5,"Republican",0,5,"House"
"Rep. James E. Clyburn","SC",6,"Democrat",100,97,"House"
"Rep. Tom Rice","SC",7,"Republican",8,11,"House"
"Rep. Dusty Johnson","SD",0,"Republican",8,12,"House"
"Rep. Diana Harshbarger","TN",1,"Republican",8,3,"House"
"Rep. Tim Burchett","TN",2,"Republican",8,14,"House"
"Rep. Chuck Fleischmann","TN",3,"Republican",0,12,"House"
"Rep. Scott DesJarlais","TN",4,"Republican",8,9,"House"
"Rep. Jim Cooper","TN",5,"Democrat",100,84,"House"
"Rep. John Rose","TN",6,"Republican",0,8,"House"
"Rep. Mark Green","TN",7,"Republican",0,11,"House"
"Rep. David Kustoff","TN",8,"Republican",0,13,"House"
"Rep. Steve Cohen","TN",9,"Democrat",100,98,"House"
"Rep. Louie Gohmert","TX",1,"Republican",0,9,"House"
"Rep. Dan Crenshaw","TX",2,"Republican",0,17,"House"
"Rep. Van Taylor","TX",3,"Republican",0,10,"House"
