"congresspeople","community","score1","lifetime_score1","name"
"Brendan Boyle (D)",4,100,97,"Brendan Boyle"
"Nydia Velazquez (D)",4,100,99,"Nydia Velazquez"
"Brad Sherman (D)",4,100,98,"Brad Sherman"
"Bobby Scott (D)",4,100,98,"Bobby Scott"
"Teresa Leger Fernandez (D)",4,100,100,"Teresa Leger Fernandez"
"Danny K Davis (D)",4,100,98,"Danny K Davis"
"Ilhan Omar (D)",4,100,90,"Ilhan Omar"
"Lois Frankel (D)",4,100,99,"Lois Frankel"
"Sheila Cherfilus-McCormick (D)",4,100,100,"Sheila Cherfilus-McCormick"
"Debbie Dingell (D)",4,100,99,"Debbie Dingell"
"Doris Matsui (D)",4,100,97,"Doris Matsui"
"Sanford Bishop (D)",4,100,94,"Sanford Bishop"
"Seth Moulton (D)",4,100,97,"Seth Moulton"
"Jake Auchincloss (D)",4,100,100,"Jake Auchincloss"
"Andre Carson (D)",4,100,98,"Andre Carson"
"Steve Cohen (D)",4,100,98,"Steve Cohen"
"Lou Correa (D)",4,100,91,"Lou Correa"
"Mark Desaulnier (D)",4,100,98,"Mark Desaulnier"
"Jesus Garcia (D)",4,100,96,"Jesus Garcia"
"Hank Johnson (D)",4,100,98,"Hank Johnson"
"Grace Napolitano (D)",4,100,100,"Grace Napolitano"
"Linda Sanchez (D)",4,100,99,"Linda Sanchez"
"Nikema Williams (D)",4,100,100,"Nikema Williams"
"Mark Takano (D)",4,100,98,"Mark Takano"
"Joaquin Castro (D)",4,100,97,"Joaquin Castro"
"Judy Chu (D)",4,100,98,"Judy Chu"
"Madeleine Dean (D)",4,100,100,"Madeleine Dean"
"Ted Lieu (D)",4,100,97,"Ted Lieu"
"Grace Meng (D)",4,100,96,"Grace Meng"
"Mark Pocan (D)",4,100,98,"Mark Pocan"
"Al Green (D)",4,100,99,"Al Green"
"Gwen Moore (D)",4,100,97,"Gwen Moore"
"Rosa DeLauro (D)",4,100,99,"Rosa DeLauro"
"Dwight Evans (D)",4,100,99,"Dwight Evans"
"Mary Gay Scanlon (D)",4,100,100,"Mary Gay Scanlon"
"Lucy McBath (D)",4,100,99,"Lucy McBath"
"Barbara Lee (D)",4,100,99,"Barbara Lee"
"John Hickenlooper (D)",4,100,100,"John Hickenlooper"
"Cory Booker (D)",4,100,99,"Cory Booker"
"Juan Vargas (D)",4,100,99,"Juan Vargas"
"Jan Schakowsky (D)",4,100,99,"Jan Schakowsky"
"Adam Schiff (D)",4,100,97,"Adam Schiff"
"Andy Levin (D)",4,100,97,"Andy Levin"
"Jerry McNerney (D)",4,100,97,"Jerry McNerney"
"Cori Bush (D)",4,100,97,"Cori Bush"
"Raul M Grijalva (D)",4,100,99,"Raul M Grijalva"
"John Sarbanes (D)",4,100,99,"John Sarbanes"
"Ayanna Pressley (D)",4,100,91,"Ayanna Pressley"
"Peter Welch (D)",4,100,97,"Peter Welch"
"Tina Smith (D)",4,100,100,"Tina Smith"
"Ted Deutch (D)",4,100,97,"Ted Deutch"
"Yvette Clarke (D)",4,100,98,"Yvette Clarke"
"Jackie Speier (D)",4,100,96,"Jackie Speier"
"Tom Suozzi (D)",4,100,94,"Tom Suozzi"
"Chris Smith (R)",4,46,54,"Chris Smith"
"Paul Tonko (D)",4,100,99,"Paul Tonko"
"Antonio Delgado (D)",4,100,100,"Antonio Delgado"
"Ed Perlmutter (D)",4,100,96,"Ed Perlmutter"
"Kathleen Rice (D)",4,92,94,"Kathleen Rice"
"Don Young (R)",4,100,45,"Don Young"
"Lucille Roybal-Allard (D)",4,100,98,"Lucille Roybal-Allard"
"James P McGovern (D)",4,100,98,"James P McGovern"
"Jamaal Bowman (D)",4,100,97,"Jamaal Bowman"
"Ben Ray Lujan (D)",4,100,98,"Ben Ray Lujan"
"Rashida Tlaib (D)",4,100,92,"Rashida Tlaib"
"Bill Keating (D)",4,100,97,"Bill Keating"
"Amy Klobuchar (D)",4,100,96,"Amy Klobuchar"
"Brenda Lawrence (D)",4,100,98,"Brenda Lawrence"
"Jim Cooper (D)",4,100,84,"Jim Cooper"
"Anthony Brown (D)",4,100,97,"Anthony Brown"
"Jeff Merkley (D)",4,100,99,"Jeff Merkley"
"Bobby Rush (D)",4,100,97,"Bobby Rush"
"Albio Sires (D)",4,100,98,"Albio Sires"
"Mondaire Jones (D)",4,100,100,"Mondaire Jones"
"Kirsten Gillibrand (D)",4,100,96,"Kirsten Gillibrand"
"Marie Newman (D)",4,100,100,"Marie Newman"
"Ron Kind (D)",4,100,90,"Ron Kind"
"David Price (D)",4,100,97,"David Price"
"Maria Cantwell (D)",4,100,94,"Maria Cantwell"
"Patrick Leahy (D)",4,100,98,"Patrick Leahy"
"Ro Khanna (D)",4,100,97,"Ro Khanna"
"Alexandria Ocasio-Cortez (D)",4,92,88,"Alexandria Ocasio-Cortez"
"John Yarmuth (D)",4,100,99,"John Yarmuth"
"Cheri Bustos (D)",4,100,96,"Cheri Bustos"
"Dean Phillips (D)",4,100,100,"Dean Phillips"
"Ann Kirkpatrick (D)",4,100,94,"Ann Kirkpatrick"
"Eddie Bernice Johnson (D)",4,100,96,"Eddie Bernice Johnson"
"Karen Bass (D)",4,100,99,"Karen Bass"
"Filemon Vela (D)",4,100,93,"Filemon Vela"
"Charlie Crist (D)",4,100,96,"Charlie Crist"
"Ed Markey (D)",4,100,99,"Ed Markey"
"Paul Gosar (R)",5,0,7,"Paul Gosar"
"Mo Brooks (R)",5,0,9,"Mo Brooks"
"Sean Casten (D)",6,100,100,"Sean Casten"
"Brian Fitzpatrick (R)",6,85,65,"Brian Fitzpatrick"
"Tom O'Halleran (D)",6,100,90,"Tom O'Halleran"
"Joseph D Morelle (D)",6,100,100,"Joseph D Morelle"
"Kim Schrier (D)",6,100,100,"Kim Schrier"
"Ashley Hinson (R)",6,8,9,"Ashley Hinson"
"Peter Meijer (R)",6,31,21,"Peter Meijer"
"Andrew Garbarino (R)",6,23,24,"Andrew Garbarino"
