"congresspeople","community","score1","lifetime_score1","name"
"French Hill (R)",2,8,14,"French Hill"
"Chrissy Houlahan (D)",2,100,100,"Chrissy Houlahan"
"Steven Horsford (D)",2,100,99,"Steven Horsford"
"Debbie Wasserman Schultz (D)",2,100,97,"Debbie Wasserman Schultz"
"Jerrold Nadler (D)",2,100,99,"Jerrold Nadler"
"Doug Lamborn (R)",2,0,6,"Doug Lamborn"
"Ann Kirkpatrick (D)",2,100,94,"Ann Kirkpatrick"
"Bobby Rush (D)",2,100,97,"Bobby Rush"
"Salud Carbajal (D)",2,100,95,"Salud Carbajal"
"Bill Keating (D)",2,100,97,"Bill Keating"
"Cheri Bustos (D)",2,100,96,"Cheri Bustos"
"Tom McClintock (R)",2,0,7,"Tom McClintock"
"Ben Cardin (D)",2,100,98,"Ben Cardin"
"Antonio Delgado (D)",2,100,100,"Antonio Delgado"
"Kurt Schrader (D)",2,92,85,"Kurt Schrader"
"Chuck Grassley (R)",2,17,18,"Chuck Grassley"
"Vernon Buchanan (R)",2,0,15,"Vernon Buchanan"
"Ed Markey (D)",2,100,99,"Ed Markey"
"Stephanie Murphy (D)",2,92,87,"Stephanie Murphy"
"Young Kim (R)",2,15,18,"Young Kim"
"Mary Gay Scanlon (D)",2,100,100,"Mary Gay Scanlon"
"Andy Levin (D)",2,100,97,"Andy Levin"
"Susan Collins (R)",2,50,49,"Susan Collins"
"Thom Tillis (R)",2,36,21,"Thom Tillis"
"Daniel Webster (R)",2,8,12,"Daniel Webster"
"Trent Kelly (R)",2,0,10,"Trent Kelly"
"Tim Kaine (D)",2,100,93,"Tim Kaine"
"Hal Rogers (R)",2,8,15,"Hal Rogers"
"Andre Carson (D)",2,100,98,"Andre Carson"
"Barry Loudermilk (R)",2,0,9,"Barry Loudermilk"
"Lloyd Smucker (R)",2,0,11,"Lloyd Smucker"
"Todd Young (R)",2,42,14,"Todd Young"
"Chris Smith (R)",2,46,54,"Chris Smith"
"Yvette Herrell (R)",2,8,3,"Yvette Herrell"
"Diana DeGette (D)",2,100,97,"Diana DeGette"
"Jan Schakowsky (D)",2,100,99,"Jan Schakowsky"
"Peter DeFazio (D)",2,100,94,"Peter DeFazio"
"Mark Green (R)",2,0,11,"Mark Green"
"Marjorie Taylor Greene (R)",2,0,0,"Marjorie Taylor Greene"
"David Trone (D)",2,100,100,"David Trone"
"John Garamendi (D)",2,100,98,"John Garamendi"
"Lloyd Doggett (D)",2,100,96,"Lloyd Doggett"
"Kathleen Rice (D)",2,92,94,"Kathleen Rice"
"Paul Tonko (D)",2,100,99,"Paul Tonko"
"Patrick McHenry (R)",2,0,10,"Patrick McHenry"
"Cliff Bentz (R)",2,8,6,"Cliff Bentz"
"Albio Sires (D)",2,100,98,"Albio Sires"
"Fred Keller (R)",2,8,12,"Fred Keller"
"Tom Reed (R)",2,67,32,"Tom Reed"
